,Sugar_Nominal,Gold_Nominal,BTC_Nominal,CPI,Sugar_Real,Gold_Real,BTC_Real
1960-01-31,6.660000000000001,,,29.37,74.25548518896835,,
1960-02-29,6.79,,,29.41,75.60195171710302,,
1960-03-31,6.83,,,29.41,76.04732403944236,,
1960-04-30,6.81,,,29.54,75.49094786729857,,
1960-05-31,6.83,,,29.57,75.63584037876225,,
1960-06-30,6.660000000000001,,,29.61,73.6536170212766,,
1960-07-31,7.28,,,29.55,80.67373265651437,,
1960-08-31,7.41,,,29.61,81.94794326241134,,
1960-09-30,7.249999999999999,,,29.61,80.17848699763593,,
1960-10-31,5.38,,,29.75,59.217976470588226,,
1960-11-30,5.2,,,29.78,57.17904633982538,,
1960-12-31,6.35,,,29.81,69.75414290506541,,
1961-01-31,6.460000000000001,,,29.84,70.89113941018768,,
1961-02-28,6.260000000000001,,,29.84,68.6963672922252,,
1961-03-31,6.260000000000001,,,29.84,68.6963672922252,,
1961-04-30,6.68,,,29.81,73.37916135524992,,
1961-05-31,7.03,,,29.84,77.1462399463807,,
1961-06-30,6.550000000000001,,,29.84,71.87878686327079,,
1961-07-31,6.09,,,29.92,66.65211898395721,,
1961-08-31,5.36,,,29.94,58.623433533734136,,
1961-09-30,5.42,,,29.98,59.200573715810535,,
1961-10-31,5.27,,,29.98,57.56218145430286,,
1961-11-30,5.09,,,29.98,55.59611074049366,,
1961-12-31,4.87,,,30.01,53.13996001332888,,
1962-01-31,4.65,,,30.04,50.68871504660453,,
1962-02-28,4.9799999999999995,,,30.11,54.159774161408166,,
1962-03-31,5.58,,,30.17,60.56436194895591,,
1962-04-30,5.71,,,30.21,61.89330023171135,,
1962-05-31,5.53,,,30.24,59.882731481481486,,
1962-06-30,5.62,,,30.21,60.917749089705396,,
1962-07-31,6.21,,,30.22,67.29075446724023,,
1962-08-31,6.460000000000001,,,30.28,69.86101717305152,,
1962-09-30,6.260000000000001,,,30.42,67.38657462195924,,
1962-10-31,6.660000000000001,,,30.38,71.7868202764977,,
1962-11-30,7.539999999999999,,,30.38,81.2721658986175,,
1962-12-31,8.82,,,30.38,95.06903225806451,,
1963-01-31,11.57,,,30.44,124.4649211563732,,
1963-02-28,13.05,,,30.48,140.20187007874017,,
1963-03-31,14.31,,,30.51,153.58743362831856,,
1963-04-30,16.470000000000002,,,30.48,176.94442913385828,,
1963-05-31,21.91,,,30.51,235.15727958046537,,
1963-06-30,21.54,,,30.61,230.43085266252857,,
1963-07-31,19.75,,,30.69,210.73101987618114,,
1963-08-31,14.13,,,30.75,150.47186341463416,,
1963-09-30,16.07,,,30.72,171.29824869791668,,
1963-10-31,23.04,,,30.75,245.3553951219512,,
1963-11-30,25.419999999999998,,,30.78,270.4364262508122,,
1963-12-31,22.62,,,30.88,239.86869170984457,,
1964-01-31,23.1,,,30.94,244.48371040723984,,
1964-02-29,19.91,,,30.91,210.9261921708185,,
1964-03-31,16.12,,,30.94,170.6094117647059,,
1964-04-30,17.11,,,30.95,181.0287754442649,,
1964-05-31,15.45,,,30.98,163.30719819238217,,
1964-06-30,11.55,,,31.01,121.96591422121895,,
1964-07-31,10.34,,,31.02,109.15333333333334,,
